,Code,Exchange,Name,Sector,Industry,Country,Region,Assets_%
ADSK.US,ADSK,US,Autodesk Inc,Technology,Software - Application,United States,North America,0.32
NET.US,NET,US,Cloudflare Inc,Technology,Software - Infrastructure,United States,North America,0.32
TER.US,TER,US,Teradyne Inc,Technology,Semiconductor Equipment & Materials,United States,North America,0.3
MCHP.US,MCHP,US,Microchip Technology Inc,Technology,Semiconductors,United States,North America,0.29
CTSH.US,CTSH,US,Cognizant Technology Solutions Corp Class A,Technology,Information Technology Services,United States,North America,0.28
KEYS.US,KEYS,US,Keysight Technologies Inc,Technology,Scientific & Technical Instruments,United States,North America,0.28
COHR.US,COHR,US,Coherent Inc,Technology,Scientific & Technical Instruments,United States,North America,0.28
CIEN.US,CIEN,US,Ciena Corp,Technology,Communication Equipment,United States,North America,0.27
LITE.US,LITE,US,Lumentum Holdings Inc,Technology,Communication Equipment,United States,North America,0.27
ROP.US,ROP,US,"Roper Technologies, Inc.",Technology,Software - Application,United States,North America,0.25
DDOG.US,DDOG,US,Datadog Inc,Technology,Software - Application,United States,North America,0.24
WDAY.US,WDAY,US,Workday Inc,Technology,Software - Application,United States,North America,0.24
FICO.US,FICO,US,Fair Isaac Corporation,Technology,Software - Application,United States,North America,0.24
DELL.US,DELL,US,Dell Technologies Inc,Technology,Computer Hardware,United States,North America,0.24
TDY.US,TDY,US,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments,United States,North America,0.23
MDB.US,MDB,US,MongoDB,Technology,Software - Infrastructure,United States,North America,0.23
MSTR.US,MSTR,US,MicroStrategy Incorporated,Technology,Software - Application,United States,North America,0.21
ON.US,ON,US,ON Semiconductor Corporation,Technology,Semiconductors,United States,North America,0.21
MKSI.US,MKSI,US,MKS Instruments Inc,Technology,Scientific & Technical Instruments,United States,North America,0.21
JBL.US,JBL,US,Jabil Circuit Inc,Technology,Electronic Components,United States,North America,0.21
HPE.US,HPE,US,Hewlett Packard Enterprise Co,Technology,Communication Equipment,United States,North America,0.2
ZM.US,ZM,US,Zoom Video Communications Inc,Technology,Software - Application,United States,North America,0.2
FLEX.US,FLEX,US,Flex Ltd,Technology,Electronic Components,United States,North America,0.19
ENTG.US,ENTG,US,Entegris Inc,Technology,Semiconductor Equipment & Materials,United States,North America,0.18
MTSI.US,MTSI,US,MACOM Technology Solutions Holdings Inc,Technology,Semiconductors,United States,North America,0.18
FSLR.US,FSLR,US,First Solar Inc,Technology,Solar,United States,North America,0.18
VRSN.US,VRSN,US,VeriSign Inc,Technology,Software - Infrastructure,United States,North America,0.18
Q.US,Q,US,"Qnity Electronics, Inc",Technology,Semiconductor Equipment & Materials,United States,North America,0.18
FN.US,FN,US,Fabrinet,Technology,Electronic Components,United States,North America,0.17
TTMI.US,TTMI,US,TTM Technologies Inc,Technology,Electronic Components,United States,North America,0.17
TWLO.US,TWLO,US,Twilio Inc,Technology,Software - Infrastructure,United States,North America,0.17
ONTO.US,ONTO,US,Onto Innovation Inc,Technology,Semiconductor Equipment & Materials,United States,North America,0.17
ALAB.US,ALAB,US,"Astera Labs, Inc.",Technology,Semiconductors,United States,North America,0.16
AKAM.US,AKAM,US,Akamai Technologies Inc,Technology,Software - Infrastructure,United States,North America,0.16
FFIV.US,FFIV,US,F5 Networks Inc,Technology,Software - Infrastructure,United States,North America,0.16
PSTG.US,PSTG,US,Pure Storage Inc,Technology,Computer Hardware,United States,North America,0.16
EPAM.US,EPAM,US,EPAM Systems Inc,Technology,Information Technology Services,United States,North America,0.16
NTAP.US,NTAP,US,NetApp Inc,Technology,Software - Infrastructure,United States,North America,0.15
TEAM.US,TEAM,US,Atlassian Corp Plc,Technology,Software - Application,United States,North America,0.15
PTC.US,PTC,US,PTC Inc,Technology,Software - Application,United States,North America,0.15
CRDO.US,CRDO,US,Credo Technology Group Holding Ltd,Technology,Semiconductors,United States,North America,0.15
AEIS.US,AEIS,US,Advanced Energy Industries Inc,Industrials,Electrical Equipment & Parts,United States,North America,0.15
CFLT.US,CFLT,US,Confluent Inc,Technology,Software - Infrastructure,United States,North America,0.15
ZS.US,ZS,US,Zscaler Inc,Technology,Software - Infrastructure,United States,North America,0.15
TRMB.US,TRMB,US,Trimble Inc,Technology,Scientific & Technical Instruments,United States,North America,0.14
OKTA.US,OKTA,US,Okta Inc,Technology,Software - Infrastructure,United States,North America,0.14
IT.US,IT,US,Gartner Inc,Technology,Information Technology Services,United States,North America,0.14
CDW.US,CDW,US,CDW Corp,Technology,Information Technology Services,United States,North America,0.14
HPQ.US,HPQ,US,HP Inc,Technology,Computer Hardware,United States,North America,0.14
SITM.US,SITM,US,Sitime Corporation,Technology,Semiconductors,United States,North America,0.14
LFUS.US,LFUS,US,Littelfuse Inc,Technology,Electronic Components,United States,North America,0.14
RMBS.US,RMBS,US,Rambus Inc,Technology,Semiconductors,United States,North America,0.14
LSCC.US,LSCC,US,Lattice Semiconductor Corporation,Technology,Semiconductors,United States,North America,0.14
SNX.US,SNX,US,Synnex Corporation,Technology,Electronics & Computer Distribution,United States,North America,0.14
TYL.US,TYL,US,Tyler Technologies Inc,Technology,Software - Application,United States,North America,0.14
GEN.US,GEN,US,Gen Digital Inc.,Technology,Software - Infrastructure,United States,North America,0.13
GDDY.US,GDDY,US,Godaddy Inc,Technology,Software - Infrastructure,United States,North America,0.13
APLD.US,APLD,US,Applied Digital Corporation,Technology,Information Technology Services,United States,North America,0.13
ZBRA.US,ZBRA,US,Zebra Technologies Corporation,Technology,Communication Equipment,United States,North America,0.13
SMTC.US,SMTC,US,Semtech Corporation,Technology,Semiconductors,United States,North America,0.13
ARW.US,ARW,US,Arrow Electronics Inc,Technology,Electronics & Computer Distribution,United States,North America,0.12
CWAN.US,CWAN,US,Clearwater Analytics Holdings Inc,Technology,Software - Application,United States,North America,0.12
DT.US,DT,US,Dynatrace Holdings LLC,Technology,Software - Application,United States,North America,0.12
SMCI.US,SMCI,US,Super Micro Computer Inc,Technology,Computer Hardware,United States,North America,0.11
HUBS.US,HUBS,US,HubSpot Inc,Technology,Software - Application,United States,North America,0.11
RAL.US,RAL,US,Ralliant Corporation Common Stock,Technology,Electronic Components,United States,North America,0.11
AMKR.US,AMKR,US,Amkor Technology Inc,Technology,Semiconductor Equipment & Materials,United States,North America,0.11
CRUS.US,CRUS,US,Cirrus Logic Inc,Technology,Semiconductors,United States,North America,0.11
MANH.US,MANH,US,Manhattan Associates Inc,Technology,Software - Application,United States,North America,0.11
DOCU.US,DOCU,US,DocuSign Inc,Technology,Software - Application,United States,North America,0.11
SANM.US,SANM,US,Sanmina Corporation,Technology,Electronic Components,United States,North America,0.11
IDCC.US,IDCC,US,InterDigital Inc,Technology,Software - Application,United States,North America,0.11
U.US,U,US,Unity Software Inc,Technology,Software - Application,United States,North America,0.11
HUT.US,HUT,US,Hut 8 Corp. Common Stock,Financial Services,Capital Markets,United States,North America,0.1
VIAV.US,VIAV,US,Viavi Solutions Inc,Technology,Communication Equipment,United States,North America,0.1
FORM.US,FORM,US,FormFactor Inc,Technology,Semiconductor Equipment & Materials,United States,North America,0.1
DMYI.US,DMYI,US,dMY Technology Group Inc. III,Financial Services,Shell Companies,United States,North America,0.1
PLXS.US,PLXS,US,Plexus Corp,Technology,Electronic Components,United States,North America,0.1
FROG.US,FROG,US,Jfrog Ltd,Technology,Software - Application,United States,North America,0.1
GWRE.US,GWRE,US,Guidewire Software Inc,Technology,Software - Application,United States,North America,0.1
QRVO.US,QRVO,US,Qorvo Inc,Technology,Semiconductors,United States,North America,0.1
PATH.US,PATH,US,Uipath Inc,Technology,Software - Infrastructure,United States,North America,0.1
VNT.US,VNT,US,Vontier Corp,Technology,Scientific & Technical Instruments,United States,North America,0.1
SWKS.US,SWKS,US,Skyworks Solutions Inc,Technology,Semiconductors,United States,North America,0.1
CGNX.US,CGNX,US,Cognex Corporation,Technology,Scientific & Technical Instruments,United States,North America,0.1
MIR.US,MIR,US,Mirion Technologies Inc,Industrials,Specialty Industrial Machinery,United States,North America,0.1
AVT.US,AVT,US,Avnet Inc,Technology,Electronics & Computer Distribution,United States,North America,0.1
